endtime,loudness
63.2552,0.9146
63.3572,0.2039
63.6778,0.8618
63.7815,0.1568
63.8864,0.7805
63.9901,0.1573
64.092,0.8632
64.4194,0.1969
64.5286,0.8306
64.8453,0.1672
64.9552,0.8362
65.0487,0.2009
65.1579,0.8835
65.2553,0.1933
65.3626,0.8646
65.4657,0.2055
65.5746,0.841
65.667,0.1772
65.9628,0.7662
66.0636,0.1869
66.1639,0.8921
66.2718,0.1892
66.3629,0.8153
66.6841,0.1604
66.9804,0.7845
67.0844,0.1647
67.3595,0.8744
67.45,0.1633
67.7651,0.8892
68.0716,0.1606
68.178,0.777
68.287,0.1543
68.5794,0.7565
68.6892,0.1654
68.7835,0.8209
69.113,0.1916
69.205,0.8937
69.506,0.1887
69.8121,0.7335
69.9051,0.1702
70.216,0.881
70.921,0.1755
71.0143,0.8347
71.1057,0.1791
71.2121,0.8517
71.5014,0.1769
71.6018,0.871
71.7093,0.1749
72.0378,0.8228
72.1369,0.161
72.4192,0.7554
72.515,0.1992
72.6216,0.7986
72.945,0.1627
73.0457,0.8966
73.1477,0.1662
73.247,0.8311
73.3509,0.2033
73.4536,0.9359
73.7293,0.1824
73.8233,0.816
73.921,0.164
74.0303,0.9167
74.1371,0.1713
74.4181,0.9055
74.6926,0.1597
74.991,0.7341
75.0894,0.1771
75.3694,0.7722
76.1324,0.1819
76.4043,0.8512
76.509,0.1543
76.5997,0.8282
76.6932,0.1959
76.784,0.8056
77.0754,0.1911
77.4003,0.9205
77.5048,0.16
77.7998,0.8016
77.9005,0.1733
78.2293,0.8951
78.5217,0.1721
78.624,0.8743
78.7313,0.1916
79.0124,0.8072
79.1036,0.1559
79.2031,0.8258
79.2971,0.1959
79.4062,0.7702
79.6948,0.1872
79.9702,0.8593
80.0772,0.1941
80.3614,0.866
80.467,0.1675
80.7417,0.7949
81.0465,0.2063
81.1407,0.8996
81.2442,0.199
81.5672,0.7436
81.6629,0.1795
81.7655,0.8593
82.4261,0.18
82.535,0.7788
82.6395,0.1606
82.7487,0.8583
82.8562,0.1805
82.9496,0.9427
83.2666,0.1603
83.3672,0.845
83.4603,0.1968
83.5681,0.8564
83.867,0.1964
84.1608,0.7655
84.8064,0.1821
84.91,0.8379
85.0119,0.1539
85.3392,0.9324
85.668,0.1877
85.9917,0.8286
86.083,0.1993
86.402,0.797
86.6908,0.1913
86.7854,0.9079
87.1099,0.1964
87.3841,0.9153
88.1158,0.1548
88.218,0.834
88.5044,0.183
88.8103,0.7666
88.9114,0.1655
89.0068,0.7634
89.103,0.2013
89.1961,0.7685
89.3045,0.1904
89.6326,0.8025
90.3352,0.1977
90.4276,0.9006
90.5294,0.1741
90.6212,0.7774
90.7265,0.1619
90.818,0.8751
91.1174,0.1613
91.2205,0.796
91.3238,0.158
91.4184,0.8191
91.5269,0.1971
91.805,0.9019
92.1328,0.1618
92.4068,0.7173
92.5001,0.2047
92.7838,0.8487
93.0545,0.1993
93.3493,0.8705
93.4455,0.1606
93.7568,0.8685
94.0562,0.1896
94.3349,0.7701
94.4379,0.1743
94.7588,0.7823
94.8522,0.1616
95.1742,0.7791
95.8108,0.1826
95.9103,0.9179
96.0155,0.19
96.3302,0.8201
96.4342,0.1621
96.7233,0.9107
96.8148,0.1796
96.9133,0.8168
97.2047,0.1972
97.2996,0.8125
97.3966,0.1684
97.687,0.9197
97.7917,0.2003
97.8841,0.8028
98.1651,0.1737
98.4931,0.8766
98.6023,0.1801
98.9222,0.8006
99.022,0.1926
